Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w39-s4-main-4workers-2,write,277,1108000000,4,237.76,73.73,220,250,310,480,620,920,4.62,18473517.39,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(4)MB
w39-s5-main-8workers-1,read,653,2612000000,8,522.36,78.99,550,720,880,1020,1420,1800,10.96,43849706.55,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s5-main-8workers-2,write,283,1132000000,8,478.46,153.15,510,680,800,870,1040,1770,4.75,19004261.8,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(4)MB
w39-s6-main-16workers-1,read,790,3160000000,16,874.8,170.48,920,1160,1390,1640,2170,3110,13.3,53185400.08,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s6-main-16workers-2,write,286,1144000000,16,907.64,313.69,920,1230,1530,1800,2290,3040,4.81,19255968.09,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(4)MB
w39-s7-main-32workers-1,read,775,3100000000,32,1679.76,393.21,1710,2300,2810,3230,4240,5350,13.12,52472799.97,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s7-main-32workers-2,write,310,1240000000,32,1895.98,837.36,1830,2540,3430,4140,4750,6660,5.25,20999662.86,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(4)MB
w39-s8-main-64workers-1,read,741,2964000000,64,3167.94,1000.68,3070,4560,6210,7660,9490,12840,12.9,51613413.95,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s8-main-64workers-2,write,318,1272000000,64,4205.09,2680.2,3540,6250,8940,11400,15350,17770,5.52,22068504.72,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(4)MB
w39-s9-main-128workers-1,read,535,2140000000,128,7447.55,3034.8,6320,8500,15690,20420,23450,36410,10.15,40604352.62,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
