Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,22,1408000,1299.82,1297.36,0.37,23586.96,100%
read,read,50,3200000,774.28,771.38,0.85,54125.37,100%
write,write,14,896000,1457.36,1454.86,0.24,15155.1,100%
read,read,54,3456000,643.22,639.43,0.95,60726.4,100%
write,write,18,1152000,1231.94,1229.67,0.32,20242.13,100%
read,read,43,2752000,666.28,663.6,0.73,46772.49,100%
write,write,20,1280000,1509.3,1506.95,0.34,21754.65,100%
read,read,36,2304000,950.53,946.64,0.62,39363.08,100%
write,write,11,704000,2210.09,2207.64,0.19,12027.61,100%
read,read,48,3072000,675.6,672.75,0.81,52076.62,100%
write,write,18,1152000,1475.61,1473.56,0.31,19528.73,100%
read,read,41,2624000,786.63,783.2,0.69,43890.61,100%
write,write,13,832000,2117.92,2115.31,0.22,13916.53,100%
read,read,40,2560000,757.12,753.95,0.68,43309.08,100%
write,write,14,896000,2058.86,2056.29,0.24,15158.18,100%
read,read,26,1664000,546.54,542.65,0.43,27749.98,100%
write,write,22,1408000,2079.5,2077.09,0.37,23480.76,100%
read,read,48,3072000,576.9,573.54,0.8,51334.32,100%
write,write,19,1216000,1691.89,1689.16,0.32,20319.84,100%
read,read,50,3200000,612.48,608.58,0.84,53582.49,100%
write,write,18,1152000,1616.33,1614.06,0.3,19289.7,100%
read,read,56,3584000,640.7,637.04,0.95,60885.08,100%
write,write,15,960000,1532.27,1529.4,0.25,16308.5,100%
read,read,50,3200000,592.2,589.3,0.84,53463.43,100%
write,write,18,1152000,1680.22,1677.22,0.3,19246.83,100%
read,read,41,2624000,907.66,904.73,0.68,43795.38,100%
write,write,12,768000,1891.67,1889.67,0.2,12818.16,100%
read,read,34,2176000,744.32,741.32,0.58,37212.48,100%
write,write,20,1280000,1658.3,1655.5,0.34,21889.7,100%
read,read,56,3584000,558.68,555.04,0.98,62528.35,100%
write,write,22,1408000,1183.05,1180,0.38,24564.71,100%
read,read,44,2816000,651.75,648.45,0.74,47660.15,100%
