Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,3,12000000,18457.33,11773,0.05,216716.03,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,19677.5,10292.5,0.05,203277.86,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18079.33,10370.33,0.06,221247.1,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,56045,30687,0.02,71371.22,100%
read,read,2,8000000,17797.5,9132,0.06,224750.67,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19488.33,12799.33,0.05,205251,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,15945.5,10794.5,0.06,250854.47,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18544.33,8282.33,0.05,215699.32,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17990,9008,0.06,222345.75,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,14739,5442,0.07,271388.83,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,26129,10614,0.04,153086.61,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19410,8137.33,0.05,206079.34,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18731.33,7868.67,0.05,213545.93,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,28119,9233,0.04,142252.57,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18521.67,11563.33,0.05,215963.29,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,22796.5,12579,0.04,175465.53,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19636.67,8343.33,0.05,203700.56,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,21623,8146.5,0.05,184988.21,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18844.67,11489.67,0.05,212261.65,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18224,10197.67,0.05,219490.78,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16747,9916,0.06,238848.75,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16568.67,10999.33,0.06,241419.55,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59487,30515,0.02,67241.58,100%
read,read,1,4000000,9991,4695,0.1,400360.32,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,12020,4938,0.08,332778.7,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,19318,6206,0.05,207060.77,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19781,10114.33,0.05,202214.25,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59952,31575,0.02,66718.93,100%
read,read,3,12000000,18298.67,11444,0.05,218595.16,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,15715,5725,0.06,254533.88,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,22804,8514,0.04,175407.82,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16145.5,11340,0.06,247747.05,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,6478,1967,0.15,617474.53,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18029,9850,0.06,221864.77,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,23505,14999,0.04,170176.56,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,14049,2874,0.07,284717.77,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59580,31555,0.02,67136.62,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18729.33,8394,0.05,213568.73,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17989.67,11908,0.06,222349.87,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19019.67,11958.33,0.05,210308.63,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16499.33,11128.33,0.06,242434.04,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,17438,6048,0.06,229384.1,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19090,11354,0.05,209533.79,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,9146,4543,0.11,437349.66,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20290,9081.5,0.05,197141.45,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18796,8910.33,0.05,212811.24,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,13031,5212,0.08,306960.33,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17845.33,12242,0.06,224148.24,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18435.33,8448.33,0.05,216974.65,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,25186,9730,0.04,158818.39,100%
