================================================== stage: s1-init ==================================================
---------------------------------- mission: MBA6E02D3CC, driver: driver1 ----------------------------------
2017-11-10 17:00:48,559 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects181
2017-11-10 17:00:48,601 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects275
2017-11-10 17:00:48,624 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects48
2017-11-10 17:00:48,698 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects257
2017-11-10 17:00:48,793 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects9
2017-11-10 17:00:48,879 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects146
2017-11-10 17:00:48,949 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects199
2017-11-10 17:00:48,988 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects221
2017-11-10 17:00:49,013 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects105
2017-11-10 17:00:49,026 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects124
2017-11-10 17:00:49,146 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects293
2017-11-10 17:00:49,271 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects68
2017-11-10 17:00:49,288 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects239
2017-11-10 17:00:49,298 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects87
2017-11-10 17:00:49,500 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects147
2017-11-10 17:00:49,528 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects49
2017-11-10 17:00:49,602 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects182
2017-11-10 17:00:49,630 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects200
2017-11-10 17:00:49,753 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects258
2017-11-10 17:00:49,840 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects31
2017-11-10 17:00:49,880 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects240
